run,int_task,rte_TRG,boolq_TRG,commitbank_TRG,copa_TRG,multirc_TRG,record_TRG,wic_TRG,winograd-coreference_TRG,commonsenseqa_TRG,cosmosqa_TRG,edges-ner-ontonotes_PRB,edges-srl-ontonotes_PRB,edges-coref-ontonotes_PRB,edges-spr1_PRB,edges-spr2_PRB,edges-dpr_PRB,edges-rel-semeval_PRB,se-probing-word-content_PRB,se-probing-tree-depth_PRB,se-probing-top-constituents_PRB,se-probing-bigram-shift_PRB,se-probing-past-present_PRB,se-probing-subj-number_PRB,se-probing-obj-number_PRB,se-probing-odd-man-out_PRB,se-probing-coordination-inversion_PRB,edges-pos-ontonotes_PRB,edges-nonterminal-ontonotes_PRB,edges-dep-ud-ewt_PRB,se-probing-sentence-length_PRB,acceptability-wh_PRB,acceptability-def_PRB,acceptability-conj_PRB,acceptability-eos_PRB,cola_PRB,edges-ner-ontonotes_MIX,edges-srl-ontonotes_MIX,edges-coref-ontonotes_MIX,edges-spr1_MIX,edges-spr2_MIX,edges-dpr_MIX,edges-rel-semeval_MIX,se-probing-word-content_MIX,se-probing-tree-depth_MIX,se-probing-top-constituents_MIX,se-probing-bigram-shift_MIX,se-probing-past-present_MIX,se-probing-subj-number_MIX,se-probing-obj-number_MIX,se-probing-odd-man-out_MIX,se-probing-coordination-inversion_MIX,edges-pos-ontonotes_MIX,edges-nonterminal-ontonotes_MIX,edges-dep-ud-ewt_MIX,se-probing-sentence-length_MIX,acceptability-wh_MIX,acceptability-def_MIX,acceptability-conj_MIX,acceptability-eos_MIX,cola_MIX
1,sst,0.866,0.873,0.987,0.84,0.505,0.846,0.503,0.673,0.729,0.816,0.97,0.939,0.971,0.876,0.84,0.889,0.87,0.998,0.761,0.932,0.976,0.915,0.94,0.954,0.759,0.882,0.982,0.88,0.959,0.467,0.983,0.981,0.799,0.845,0.663,0.964,0.87,0.958,0.842,0.835,0.661,0.772,0.409,0.379,0.678,0.845,0.894,0.839,0.778,0.665,0.66,0.981,0.879,0.96,0.438,0.718,0.769,0.754,0.578,0.471
1,SocialIQA,0.801,0.844,0.818,0.83,0.304,0.767,0.669,0.635,0.662,0.729,0.354,0.0,0.967,0.857,0.817,0.667,0.053,0.001,0.75,0.931,0.974,0.911,0.93,0.956,0.729,0.871,0.98,0.888,0.032,0.459,0.795,0.631,0.913,0.695,0.616,,,,,,,,,,,,,,,,,,,,,,,,,
1,qqp,0.787,0.825,0.743,0.84,0.437,0.726,0.724,0.635,0.653,0.72,0.0,0.0,0.933,0.569,0.76,0.667,0.0,0.984,0.743,0.929,0.976,0.906,0.937,0.956,0.747,0.87,0.007,0.887,0.08,0.451,0.695,0.583,0.583,0.583,0.623,0.96,,0.951,0.838,0.834,0.609,0.742,,,,,,,,,,,,,,0.583,0.583,0.583,0.646,0.397
1,mnli,0.819,0.875,1.0,0.86,0.487,0.863,0.704,0.721,0.726,0.818,,0.926,0.972,,0.838,0.904,0.855,0.998,0.757,0.933,0.979,0.914,0.941,0.956,0.773,0.881,,,0.958,0.458,0.903,0.583,0.583,0.979,0.668,0.963,0.907,,0.847,0.833,0.646,0.778,,,,,,,,,,0.981,,,,,,,,
1,scitail,0.859,0.865,0.937,0.9,0.502,0.838,0.734,0.721,0.688,0.796,0.968,0.926,0.971,0.872,0.841,0.897,0.858,0.998,0.757,0.932,0.978,0.908,0.931,0.955,0.756,0.877,0.981,0.888,0.959,0.459,0.25,0.583,0.583,1.0,0.646,0.964,0.902,0.964,0.846,0.835,0.643,0.778,0.702,0.386,0.703,0.86,0.849,0.821,0.792,0.653,0.65,0.98,0.883,0.961,0.433,0.583,0.798,0.583,0.619,0.442
1,qasrl,0.852,0.867,0.918,0.8,0.496,0.808,0.743,0.74,0.695,0.784,0.969,0.924,0.971,0.875,0.836,0.897,0.843,0.998,0.757,0.933,0.976,0.921,0.945,0.959,0.757,0.879,0.981,0.888,0.957,0.463,0.983,0.583,0.917,0.959,0.616,,,,,,,,,,,,,,,,,,,,,,,,,
1,qamr,0.827,0.866,1.0,0.79,0.505,,0.697,0.663,0.708,0.801,0.97,0.94,,0.871,0.837,0.894,0.856,0.998,0.761,0.931,0.976,0.899,,0.952,0.752,0.876,0.981,0.89,0.957,0.463,0.583,0.583,0.631,0.939,0.642,0.96,0.908,,0.845,0.835,0.661,0.763,,,,,,,,,,,,,,,,,,
1,cosmosqa,,,,,,,,,,,0.968,0.0,0.973,0.876,0.839,0.896,0.862,0.998,0.758,0.933,0.977,0.926,0.95,0.955,0.772,0.883,0.98,0.888,0.959,0.466,0.967,0.583,0.822,0.959,0.666,,,,,,,,,,,,,,,,,,,,,,,,,
1,hellaswag,0.881,0.87,0.987,0.91,0.547,0.844,0.71,0.683,0.746,0.823,0.968,0.927,0.973,0.875,0.836,0.892,0.0,0.999,0.756,0.932,0.98,0.91,0.939,0.952,0.776,0.882,0.981,0.887,0.958,0.464,0.983,0.943,0.583,1.0,0.673,0.964,0.904,0.961,0.847,0.835,0.689,0.779,0.706,0.386,0.658,0.881,0.846,0.852,0.805,0.719,0.66,0.98,,0.959,0.434,0.888,0.843,0.839,0.667,0.465
1,commonsenseqa,0.863,0.875,1.0,0.93,0.542,0.862,0.708,0.663,,0.816,0.969,0.0,0.971,0.875,0.837,0.88,0.856,0.998,0.761,0.931,0.977,0.913,0.941,0.956,0.776,0.879,0.981,0.884,0.959,0.461,0.967,0.908,0.583,0.979,0.68,,,,,,,,,,,,,,,,,,,,,,,,,
