task_jiant_name,owner,task_full_name,train_size,single_performance_mean,num_examples,vocab_size,average_input_length,genre
sst,Jason,SST-2,67349,0.968,67349,12362,13.11073661,movie reviews
SocialIQA,Clara,Social IQA,"38,000",0.729,33410,15966,31.14916692,crowd-sourced
qqp,Richard,QQP,363849,0.898,363854,44216,31.04270669,quora
mnli,Yada,MultiNLI,392702,0.901,392702,41339,40.31429939,multi
scitail,Richard,SciTail,23596,0.97239,23596,21030,40.76245974,high school exams
qasrl,Haokun,QA-SRL,200k,0.67492,637989,32971,37.12402565,wikipedia+
qamr,Yada,QAMR,20k,0.73537,50615,17066,45.40256841,wikipedia+
squad,Xiaoyi,SQuAD,130319,,,,,wikipedia+
cosmosqa,Xiaoyi,Cosmos QA,25588,0.818666667,25262,30800,96.22526918,blog data
hellaswag,Jason,HellaSWAG,,0.856,39905,30423,83.79027064,video caption+wikihow
commonsenseqa,Phu,CommonsenseQA,9741,0.74,9741,12996,25.64295247,concept-net
rte,Clara,RTE,2490,0.835,2490,17381,70.737751,wikipedia+
boolq,Haokun,BoolQ,9427,0.866333333,9427,35313,136.6700965,wikipedia+
commitbank,Jason,CommitmentBank,250,0.991333333,250,3016,81.836,???
copa,Phu,COPA,400,0.86,400,2068,24.5425,???
multirc,Xiaoyi,MultiRC,5100,0.474333333,27243,19050,254.5621628,???
record,Haokun,ReCoRD,~101000,0.859666667,1796856,46216,260.1420019,news
wic,Clara,WIC,5428,0.705333333,5428,8604,21.48913043,wordnet
winograd-coreference,Yada,WSC,554,0.673,554,1421,28.87364621,fiction
ccg,Clara,CCG,0,0.96,38015,28621,29.20852295,WSJ
